Angle (deg),Energy (eV),Differential cross section (m2/sr)
58.0,0.0040817,3.1856e-21
59.0,0.0040817,3.1826e-21
60.0,0.0040817,3.1795e-21
61.0,0.0040817,3.1763e-21
62.0,0.0040817,3.1732e-21
63.0,0.0040817,3.17e-21
64.0,0.0040817,3.1668e-21
65.0,0.0040817,3.1636e-21
66.0,0.0040817,3.1603e-21
67.0,0.0040817,3.1571e-21
68.0,0.0040817,3.1538e-21
69.0,0.0040817,3.1505e-21
70.0,0.0040817,3.1472e-21
71.0,0.0040817,3.1438e-21
72.0,0.0040817,3.1405e-21
73.0,0.0040817,3.1371e-21
74.0,0.0040817,3.1337e-21
75.0,0.0040817,3.1303e-21
76.0,0.0040817,3.1269e-21
77.0,0.0040817,3.1235e-21
78.0,0.0040817,3.12e-21
79.0,0.0040817,3.1166e-21
80.0,0.0040817,3.1131e-21
81.0,0.0040817,3.1097e-21
82.0,0.0040817,3.1062e-21
83.0,0.0040817,3.1028e-21
84.0,0.0040817,3.0993e-21
85.0,0.0040817,3.0958e-21
86.0,0.0040817,3.0924e-21
87.0,0.0040817,3.0889e-21
88.0,0.0040817,3.0855e-21
89.0,0.0040817,3.082e-21
90.0,0.0040817,3.0785e-21
91.0,0.0040817,3.0751e-21
92.0,0.0040817,3.0716e-21
93.0,0.0040817,3.0682e-21
94.0,0.0040817,3.0648e-21
95.0,0.0040817,3.0613e-21
96.0,0.0040817,3.0579e-21
97.0,0.0040817,3.0545e-21
98.0,0.0040817,3.0511e-21
99.0,0.0040817,3.0477e-21
100.0,0.0040817,3.0444e-21
101.0,0.0040817,3.041e-21
102.0,0.0040817,3.0377e-21
103.0,0.0040817,3.0344e-21
104.0,0.0040817,3.0311e-21
105.0,0.0040817,3.0278e-21
106.0,0.0040817,3.0245e-21
107.0,0.0040817,3.0213e-21
108.0,0.0040817,3.0181e-21
109.0,0.0040817,3.0149e-21
110.0,0.0040817,3.0117e-21
111.0,0.0040817,3.0085e-21
112.0,0.0040817,3.0054e-21
113.0,0.0040817,3.0023e-21
114.0,0.0040817,2.9992e-21
115.0,0.0040817,2.9962e-21
116.0,0.0040817,2.9932e-21
117.0,0.0040817,2.9902e-21
118.0,0.0040817,2.9872e-21
119.0,0.0040817,2.9843e-21
120.0,0.0040817,2.9814e-21
121.0,0.0040817,2.9785e-21
122.0,0.0040817,2.9757e-21
123.0,0.0040817,2.9729e-21
124.0,0.0040817,2.9702e-21
125.0,0.0040817,2.9674e-21
126.0,0.0040817,2.9647e-21
127.0,0.0040817,2.9621e-21
128.0,0.0040817,2.9595e-21
129.0,0.0040817,2.9569e-21
130.0,0.0040817,2.9543e-21
131.0,0.0040817,2.9518e-21
132.0,0.0040817,2.9494e-21
133.0,0.0040817,2.947e-21
134.0,0.0040817,2.9446e-21
135.0,0.0040817,2.9423e-21
136.0,0.0040817,2.94e-21
137.0,0.0040817,2.9377e-21
138.0,0.0040817,2.9355e-21
139.0,0.0040817,2.9333e-21
140.0,0.0040817,2.9312e-21
141.0,0.0040817,2.9292e-21
142.0,0.0040817,2.9271e-21
143.0,0.0040817,2.9251e-21
144.0,0.0040817,2.9232e-21
145.0,0.0040817,2.9213e-21
146.0,0.0040817,2.9195e-21
147.0,0.0040817,2.9177e-21
148.0,0.0040817,2.916e-21
149.0,0.0040817,2.9143e-21
150.0,0.0040817,2.9126e-21
151.0,0.0040817,2.911e-21
152.0,0.0040817,2.9095e-21
153.0,0.0040817,2.908e-21
154.0,0.0040817,2.9066e-21
155.0,0.0040817,2.9052e-21
156.0,0.0040817,2.9038e-21
157.0,0.0040817,2.9026e-21
158.0,0.0040817,2.9013e-21
159.0,0.0040817,2.9001e-21
160.0,0.0040817,2.899e-21
161.0,0.0040817,2.8979e-21
162.0,0.0040817,2.8969e-21
163.0,0.0040817,2.896e-21
164.0,0.0040817,2.895e-21
165.0,0.0040817,2.8942e-21
166.0,0.0040817,2.8934e-21
167.0,0.0040817,2.8926e-21
168.0,0.0040817,2.8919e-21
169.0,0.0040817,2.8913e-21
170.0,0.0040817,2.8907e-21
171.0,0.0040817,2.8902e-21
172.0,0.0040817,2.8897e-21
173.0,0.0040817,2.8893e-21
174.0,0.0040817,2.8889e-21
175.0,0.0040817,2.8886e-21
176.0,0.0040817,2.8884e-21
177.0,0.0040817,2.8882e-21
178.0,0.0040817,2.888e-21
179.0,0.0040817,2.888e-21
180.0,0.0040817,2.8879e-21
0.0,0.0054422,3.3033e-21
1.0,0.0054422,3.3033e-21
2.0,0.0054422,3.3031e-21
3.0,0.0054422,3.3029e-21
4.0,0.0054422,3.3026e-21
5.0,0.0054422,3.3022e-21
6.0,0.0054422,3.3018e-21
7.0,0.0054422,3.3012e-21
8.0,0.0054422,3.3006e-21
9.0,0.0054422,3.2998e-21
10.0,0.0054422,3.299e-21
11.0,0.0054422,3.2981e-21
12.0,0.0054422,3.2972e-21
13.0,0.0054422,3.2961e-21
14.0,0.0054422,3.295e-21
15.0,0.0054422,3.2937e-21
16.0,0.0054422,3.2924e-21
17.0,0.0054422,3.291e-21
18.0,0.0054422,3.2896e-21
19.0,0.0054422,3.288e-21
20.0,0.0054422,3.2864e-21
21.0,0.0054422,3.2847e-21
22.0,0.0054422,3.2829e-21
23.0,0.0054422,3.281e-21
24.0,0.0054422,3.2791e-21
25.0,0.0054422,3.2771e-21
26.0,0.0054422,3.275e-21
27.0,0.0054422,3.2728e-21
28.0,0.0054422,3.2706e-21
29.0,0.0054422,3.2682e-21
30.0,0.0054422,3.2659e-21
31.0,0.0054422,3.2634e-21
32.0,0.0054422,3.2609e-21
33.0,0.0054422,3.2583e-21
34.0,0.0054422,3.2556e-21
35.0,0.0054422,3.2529e-21
36.0,0.0054422,3.2501e-21
37.0,0.0054422,3.2472e-21
38.0,0.0054422,3.2443e-21
39.0,0.0054422,3.2413e-21
40.0,0.0054422,3.2382e-21
41.0,0.0054422,3.2351e-21
42.0,0.0054422,3.232e-21
43.0,0.0054422,3.2287e-21
44.0,0.0054422,3.2254e-21
45.0,0.0054422,3.2221e-21
46.0,0.0054422,3.2187e-21
47.0,0.0054422,3.2152e-21
48.0,0.0054422,3.2117e-21
49.0,0.0054422,3.2082e-21
50.0,0.0054422,3.2046e-21
51.0,0.0054422,3.2009e-21
52.0,0.0054422,3.1972e-21
53.0,0.0054422,3.1935e-21
54.0,0.0054422,3.1897e-21
55.0,0.0054422,3.1859e-21
56.0,0.0054422,3.182e-21
57.0,0.0054422,3.1781e-21
58.0,0.0054422,3.1741e-21
59.0,0.0054422,3.1701e-21
60.0,0.0054422,3.1661e-21
61.0,0.0054422,3.1621e-21
62.0,0.0054422,3.158e-21
63.0,0.0054422,3.1539e-21
64.0,0.0054422,3.1497e-21
65.0,0.0054422,3.1455e-21
66.0,0.0054422,3.1413e-21
67.0,0.0054422,3.1371e-21
68.0,0.0054422,3.1328e-21
69.0,0.0054422,3.1285e-21
70.0,0.0054422,3.1242e-21
71.0,0.0054422,3.1199e-21
72.0,0.0054422,3.1156e-21
73.0,0.0054422,3.1112e-21
74.0,0.0054422,3.1068e-21
75.0,0.0054422,3.1024e-21
76.0,0.0054422,3.098e-21
77.0,0.0054422,3.0936e-21
78.0,0.0054422,3.0892e-21
79.0,0.0054422,3.0847e-21
80.0,0.0054422,3.0803e-21
81.0,0.0054422,3.0759e-21
82.0,0.0054422,3.0714e-21
83.0,0.0054422,3.067e-21
84.0,0.0054422,3.0625e-21
85.0,0.0054422,3.058e-21
86.0,0.0054422,3.0536e-21
87.0,0.0054422,3.0491e-21
88.0,0.0054422,3.0447e-21
89.0,0.0054422,3.0402e-21
90.0,0.0054422,3.0358e-21
91.0,0.0054422,3.0314e-21
92.0,0.0054422,3.027e-21
93.0,0.0054422,3.0225e-21
94.0,0.0054422,3.0181e-21
95.0,0.0054422,3.0138e-21
96.0,0.0054422,3.0094e-21
97.0,0.0054422,3.005e-21
98.0,0.0054422,3.0007e-21
99.0,0.0054422,2.9964e-21
100.0,0.0054422,2.9921e-21
101.0,0.0054422,2.9878e-21
102.0,0.0054422,2.9835e-21
103.0,0.0054422,2.9793e-21
104.0,0.0054422,2.9751e-21
105.0,0.0054422,2.9709e-21
106.0,0.0054422,2.9668e-21
107.0,0.0054422,2.9626e-21
108.0,0.0054422,2.9585e-21
109.0,0.0054422,2.9545e-21
110.0,0.0054422,2.9504e-21
111.0,0.0054422,2.9464e-21
112.0,0.0054422,2.9424e-21
113.0,0.0054422,2.9385e-21
114.0,0.0054422,2.9346e-21
115.0,0.0054422,2.9307e-21
116.0,0.0054422,2.9269e-21
117.0,0.0054422,2.9231e-21
118.0,0.0054422,2.9194e-21
119.0,0.0054422,2.9157e-21
120.0,0.0054422,2.912e-21
121.0,0.0054422,2.9084e-21
122.0,0.0054422,2.9048e-21
123.0,0.0054422,2.9012e-21
124.0,0.0054422,2.8977e-21
125.0,0.0054422,2.8943e-21
126.0,0.0054422,2.8909e-21
127.0,0.0054422,2.8875e-21
128.0,0.0054422,2.8842e-21
129.0,0.0054422,2.881e-21
130.0,0.0054422,2.8778e-21
131.0,0.0054422,2.8746e-21
132.0,0.0054422,2.8715e-21
133.0,0.0054422,2.8685e-21
134.0,0.0054422,2.8655e-21
135.0,0.0054422,2.8625e-21
136.0,0.0054422,2.8596e-21
137.0,0.0054422,2.8568e-21
138.0,0.0054422,2.854e-21
139.0,0.0054422,2.8513e-21
140.0,0.0054422,2.8486e-21
141.0,0.0054422,2.846e-21
142.0,0.0054422,2.8435e-21
143.0,0.0054422,2.841e-21
144.0,0.0054422,2.8386e-21
145.0,0.0054422,2.8362e-21
146.0,0.0054422,2.8339e-21
147.0,0.0054422,2.8316e-21
148.0,0.0054422,2.8295e-21
149.0,0.0054422,2.8273e-21
150.0,0.0054422,2.8253e-21
151.0,0.0054422,2.8233e-21
152.0,0.0054422,2.8213e-21
153.0,0.0054422,2.8195e-21
154.0,0.0054422,2.8177e-21
155.0,0.0054422,2.8159e-21
156.0,0.0054422,2.8143e-21
157.0,0.0054422,2.8126e-21
158.0,0.0054422,2.8111e-21
159.0,0.0054422,2.8096e-21
160.0,0.0054422,2.8082e-21
161.0,0.0054422,2.8069e-21
162.0,0.0054422,2.8056e-21
163.0,0.0054422,2.8044e-21
164.0,0.0054422,2.8032e-21
165.0,0.0054422,2.8022e-21
166.0,0.0054422,2.8012e-21
167.0,0.0054422,2.8002e-21
168.0,0.0054422,2.7994e-21
169.0,0.0054422,2.7986e-21
170.0,0.0054422,2.7978e-21
171.0,0.0054422,2.7972e-21
172.0,0.0054422,2.7966e-21
173.0,0.0054422,2.796e-21
174.0,0.0054422,2.7956e-21
175.0,0.0054422,2.7952e-21
176.0,0.0054422,2.7949e-21
177.0,0.0054422,2.7947e-21
178.0,0.0054422,2.7945e-21
179.0,0.0054422,2.7944e-21
180.0,0.0054422,2.7943e-21
0.0,0.0068028,3.3694e-21
1.0,0.0068028,3.3694e-21
2.0,0.0068028,3.3692e-21
3.0,0.0068028,3.3689e-21
4.0,0.0068028,3.3684e-21
5.0,0.0068028,3.3679e-21
6.0,0.0068028,3.3672e-21
7.0,0.0068028,3.3664e-21
8.0,0.0068028,3.3654e-21
9.0,0.0068028,3.3644e-21
10.0,0.0068028,3.3632e-21
11.0,0.0068028,3.3619e-21
12.0,0.0068028,3.3605e-21
13.0,0.0068028,3.3589e-21
14.0,0.0068028,3.3573e-21
15.0,0.0068028,3.3555e-21
16.0,0.0068028,3.3536e-21
17.0,0.0068028,3.3516e-21
18.0,0.0068028,3.3494e-21
19.0,0.0068028,3.3472e-21
20.0,0.0068028,3.3448e-21
21.0,0.0068028,3.3423e-21
22.0,0.0068028,3.3397e-21
23.0,0.0068028,3.337e-21
24.0,0.0068028,3.3342e-21
25.0,0.0068028,3.3313e-21
26.0,0.0068028,3.3282e-21
27.0,0.0068028,3.3251e-21
28.0,0.0068028,3.3218e-21
29.0,0.0068028,3.3184e-21
30.0,0.0068028,3.315e-21
31.0,0.0068028,3.3114e-21
32.0,0.0068028,3.3077e-21
33.0,0.0068028,3.304e-21
34.0,0.0068028,3.3001e-21
35.0,0.0068028,3.2961e-21
36.0,0.0068028,3.2921e-21
37.0,0.0068028,3.2879e-21
38.0,0.0068028,3.2837e-21
39.0,0.0068028,3.2794e-21
40.0,0.0068028,3.2749e-21
41.0,0.0068028,3.2704e-21
42.0,0.0068028,3.2658e-21
43.0,0.0068028,3.2612e-21
44.0,0.0068028,3.2564e-21
45.0,0.0068028,3.2516e-21
46.0,0.0068028,3.2467e-21
47.0,0.0068028,3.2417e-21
48.0,0.0068028,3.2366e-21
49.0,0.0068028,3.2315e-21
50.0,0.0068028,3.2263e-21
51.0,0.0068028,3.221e-21
52.0,0.0068028,3.2157e-21
53.0,0.0068028,3.2103e-21
